Position;Date;Management;Software;Lean;Operations;Data science;Total
Thyssen;01.01.01;10;20;70;0;0;100
Thyssen;30.06.01;10;20;70;0;0;100
Bike;01.07.01;0;0;0;0;0;0
Bike;31.10.01;0;0;0;0;0;0
Faurecia Changchun;01.11.01;10;10;30;50;0;100
Faurecia Changchun;31.03.03;10;10;30;50;0;100
Faurecia France;01.04.03;20;0;30;50;0;100
Faurecia France;30.03.04;20;0;30;50;0;100
Faurecia Wuxi;01.04.04;30;10;20;40;0;100
Faurecia Wuxi;30.03.06;30;10;20;40;0;100
Bombardier France;01.04.06;10;0;90;0;0;100
Bombardier France;01.11.06;10;0;90;;0;100
Bike;02.11.06;0;0;0;0;0;0
Bike;30.10.07;0;0;0;0;0;0
Alstom France;01.11.07;50;10;20;20;0;100
Alstom France;01.06.10;50;10;20;20;0;100
Alstom Austria;01.09.10;40;15;20;25;0;100
Alstom Austria;31.08.13;40;15;20;25;0;100
Cimdata;01.09.13;;100;;;;100
Cimdata;28.02.14;;100;;;;100
Dilax Berlin;01.03.14;0;65;10;10;15;100
Dilax Berlin;01.03.17;0;65;10;10;15;100
Udacity;02.03.17;0;0;0;0;100;100
Udacity;31.08.17;0;0;0;0;100;100
Akquinet Berlin;01.09.17;0;85;0;15;0;100
Akquinet Berlin;01.12.17;0;85;0;15;0;100
